gene	coef	HR	HR_lower_95	HR_upper_95	se_coef	p_value	C_index	log2FoldChange	padj	regulation	cox_p_adj	log2_HR	neglog10p	prognostic_class
DEFB1	-0.1049680234889159	0.9003533122836359	0.8199412403176224	0.9886514387617541	0.04773280360745289	0.027872577331331513	0.5728402032749859	1.35551780453637	1.44582530283678e-6	Up	0.9206895747817477	-0.15143684693937529	1.5548228709342435	Favorable (Protective DEG)
CCL26	0.15155338295379897	1.1636404187143796	1.0164011172185108	1.332209303125623	0.069024386348871	0.028117015862160904	0.5024703557312253	1.86399702206454	4.5215138933512294e-11	Up	0.9206895747817477	0.21864531401739165	1.551030774099159	Adverse (Risk DEG)
SH2D3C	-0.2744984154429948	0.7599532084371488	0.594364430731311	0.9716746984729893	0.12539220847509028	0.028588221215136517	0.5797571993224166	-0.543395514947199	2.0622988952884e-6	NS	0.9206895747817477	-0.39601750269148706	1.5438128659950556	Favorable (Protective DEG)
ST8SIA1	-0.24559306171980375	0.7822404837623956	0.6277302881919277	0.9747819819230056	0.11227329797031799	0.028709146413688897	0.5681112365894975	-0.65390049046993	6.68777609152879e-5	NS	0.9206895747817477	-0.35431589221989795	1.5419797198453842	Favorable (Protective DEG)
RTP3	-0.21157920199227892	0.8093051799316788	0.669121532937081	0.9788578636668024	0.09704789030703354	0.02924615823558643	0.5546654432523997	-2.0282577339454	6.5920032183255e-7	Down	0.9206895747817477	-0.3052442654695051	1.5339311745959798	Favorable (Protective DEG)
DNAI3	-0.38626099958424304	0.6795931290069739	0.48020823362291964	0.9617636447194938	0.17718409739167432	0.029257600751296926	0.5580180688876342	-0.551225791905052	0.00686168403897738	NS	0.9206895747817477	-0.5572568285890013	1.5337612907600833	Favorable (Protective DEG)
ZNF71	-0.19643445870796633	0.8216551818727423	0.6884710092183832	0.9806037274754468	0.09023003052596183	0.02947752269440143	0.5743224167137211	-0.602270752124562	3.0357258315501e-4	NS	0.9206895747817477	-0.2833950194376908	1.5305090176026377	Favorable (Protective DEG)
SMIM17	-0.5479427671122228	0.578137952228202	0.3524172746567952	0.9484310669280469	0.25255392593376425	0.03003663018341732	0.5594649915302089	-0.812125111549956	5.9974424337496e-4	NS	0.9206895747817477	-0.79051431280378	1.5223487925346673	Favorable (Protective DEG)
ZNF470	-0.20842314085617894	0.811863431432873	0.6724382546140799	0.980197403665318	0.09613536118606872	0.030157358686759117	0.5931677018633541	-0.783535238698639	9.05646013284732e-5	NS	0.9206895747817477	-0.30069103171971123	1.5206066985449156	Favorable (Protective DEG)
BATF	-0.20623811698909955	0.8136393118713813	0.6752213449945439	0.9804324681529197	0.09514287396834832	0.03018399295512762	0.5726990400903444	-0.575541633320504	0.00274097087180795	NS	0.9206895747817477	-0.2975387086224518	1.5202233091703512	Favorable (Protective DEG)
GAS2L3	0.3159219754714794	1.3715232389970582	1.02861349785197	1.8287490870353045	0.1467936150466026	0.03138549024567457	0.5732636928289102	-0.550405424823688	3.1855736646601e-6	NS	0.9206895747817477	0.455779067320548	1.5032710832207459	Adverse (Risk DEG)
PTCRA	-0.4050062850426919	0.666972618893917	0.4612006671584518	0.9645529723428936	0.18822578470051005	0.031420628346715274	0.5630999435347261	-0.634955366933809	0.017949787708168	NS	0.9206895747817477	-0.5843005589599535	1.5027851342297642	Favorable (Protective DEG)
NKX2-8	0.21210497365593592	1.2362776548523622	1.0189464423276346	1.4999634685370604	0.09864251658297757	0.0315363247844567	0.5425254093732355	1.314320627593	3.88617089066329e-7	Up	0.9206895747817477	0.30600279364130284	1.501188920354998	Adverse (Risk DEG)
CD79B	-0.24684861134231365	0.7812589583241826	0.6236311788910576	0.9787284225383669	0.11497534406850089	0.03179567219464341	0.569240542066629	-1.13878324845073	6.80024903161623e-8	Down	0.9206895747817477	-0.35612726743388307	1.4976319891317433	Favorable (Protective DEG)
SLC5A10	-0.2268704344910399	0.7970240424262295	0.64786945429839	0.9805174792403031	0.10571399754530902	0.031866793848932304	0.5492659514398645	0.531603504246701	0.0395716535240527	NS	0.9206895747817477	-0.3273048507645478	1.4966616291450496	Favorable (Protective DEG)
RGMA	-0.16529749787539932	0.8476414950300748	0.7288648503510261	0.9857741167663495	0.07702664841845495	0.03187472882197619	0.5885093167701864	0.521509812777472	0.00862596845890988	NS	0.9206895747817477	-0.23847388045619256	1.4965535013539202	Favorable (Protective DEG)
